"posicion","provincia","cod","canton","ids_2023","densidad_pob","cod_prov","cod_cant"
NA,NA,NA,NA,NA,NA,NA,NA
1,"SAN JOSE","102","Escazú",100,2062,"1","02"
2,"HEREDIA","407","Belén",99.75,2169.1,"4","07"
3,"HEREDIA","408","Flores",97.86,3763.1,"4","08"
4,"SAN JOSE","109","Santa Ana",94.58,1007,"1","09"
5,"HEREDIA","403","Santo Domingo",93.13,1962,"4","03"
6,"HEREDIA","405","San Rafael",90.15,1170.8,"4","05"
7,"HEREDIA","409","San Pablo",89.56,3779.3,"4","09"
8,"HEREDIA","402","Barva",89.16,860.4,"4","02"
9,"SAN JOSE","114","Moravia",88.72,2195,"1","14"
10,"ALAJUELA","205","Atenas",88.71,236.6,"2","05"
11,"SAN JOSE","115","Montes de Oca",88.6,3982.5,"1","15"
12,"HEREDIA","406","San Isidro",87.78,887,"4","06"
13,"ALAJUELA","207","Palmares",87.17,1073.6,"2","07"
14,"SAN JOSE","118","Curridabat",85.64,5023.5,"1","18"
15,"CARTAGO","301","Cartago",84.99,596.4,"3","01"
70,"CARTAGO","305","Turrialba",36.01,46.3,"3","05"
71,"PUNTARENAS","610","Corredores",34.79,85.8,"6","10"
72,"PUNTARENAS","608","Coto Brus",33.08,46.9,"6","08"
73,"PUNTARENAS","605","Osa",32.31,16.2,"6","05"
74,"LIMON","701","Limón",31.93,56.7,"7","01"
75,"LIMON","705","Matina",25.23,61.5,"7","05"
76,"GUANACASTE","510","La Cruz",25.02,20.3,"5","10"
77,"PUNTARENAS","607","Golfito",24.36,32.6,"6","07"
78,"ALAJUELA","215","Guatuso",24.23,26.2,"2","15"
79,"HEREDIA","410","Sarapiquí",22.65,40.9,"4","10"
80,"ALAJUELA","213","Upala",22.52,34.8,"2","13"
81,"PUNTARENAS","603","Buenos Aires",15.33,23,"6","03"
82,"PUNTARENAS","613","Puerto Jimenez",13.02,17.8,"6","13"
83,"ALAJUELA","214","Los Chiles",9.25,26.4,"2","14"
84,"LIMON","704","Talamanca",0,16,"7","04"
