"cod","canton","indice_salud","indice_participa","indice_seguridad","indice_educacion","indice_economico","ids_sin_normalizar","ids_2023_final","cod_prov","cod_cant"
"102","Escazú",94.8,70.79,86.5,75.8,99.4,87.2,100,"1","02"
"407","Belén",95.7,82.39,72.1,83.1,88.4,87,99.75,"4","07"
"408","Flores",90.2,78.3,91.8,86.9,82.5,85.5,97.86,"4","08"
"109","Santa Ana",91.8,73.38,84.7,59.3,100,82.9,94.58,"1","09"
"403","Santo Domingo",79.9,70.52,79.6,91.3,82.3,81.8,93.13,"4","03"
"405","San Rafael",84.5,54.82,91.8,88.1,78.6,79.5,90.15,"4","05"
"409","San Pablo",89.3,69.29,99.5,67.6,80.1,79,89.56,"4","09"
"402","Barva",75.2,75.43,92.1,83.6,76.4,78.7,89.16,"4","02"
"114","Moravia",91.3,61.1,89.7,76.8,75,78.3,88.72,"1","14"
"205","Atenas",83.6,89.63,73.7,92.6,56.1,78.3,88.71,"2","05"
"115","Montes de Oca",100,60.14,90.5,67.5,75.1,78.2,88.6,"1","15"
"406","San Isidro",84.8,66.69,80.9,72.5,80.9,77.6,87.78,"4","06"
"207","Palmares",74.1,79.8,89.4,100,56.1,77.1,87.17,"2","07"
"118","Curridabat",91.3,53.04,88.2,70.1,77.1,75.9,85.64,"1","18"
"301","Cartago",68.3,79.8,77.6,91.1,65.5,75.4,84.99,"3","01"
"401","Heredia",81.5,47.18,76.3,85.5,76,75.1,84.6,"4","01"
"307","Oreamuno",62.7,79.12,89.8,89.9,68,75.1,84.55,"3","07"
"111","Vázquez de Coronado",88,56.32,78.3,75.3,71,74.5,83.79,"1","11"
"303","La Unión",74.2,53.45,76.1,85.6,75.7,74.2,83.39,"3","03"
"107","Mora",86.2,64.1,85.6,80.5,52.1,71.7,80.19,"1","07"
"208","Poás",72,75.43,88.6,90.9,48.8,71.7,80.15,"2","08"
"404","Santa Bárbara",63.8,65.33,89,82.4,66,70.8,79.02,"4","04"
"211","Zarcero",60.6,100,89,70.1,57.8,70.2,78.29,"2","11"
"203","Grecia",59.7,69.83,89.4,91,57.2,70.1,78.11,"2","03"
"108","Goicoechea",82.7,40.49,80,76.9,65.4,69.6,77.48,"1","08"
"302","Paraíso",56.9,67.92,84.6,92,59,69.5,77.36,"3","02"
"308","El Guarco",62.2,66.15,86.4,88,53.7,68.2,75.77,"3","08"
"103","Desamparados",72.9,40.62,86,84.1,60.4,67.8,75.22,"1","03"
"306","Alvarado",55.9,70.38,85.3,97.6,45.8,67.3,74.54,"3","06"
"612","Monteverde",61,67.59,100,75.7,53.2,65.9,72.82,"6","12"
"206","Naranjo",52.1,69.83,79.3,93.1,48.4,65.5,72.28,"2","06"
"104","Puriscal",91.4,69.01,89.5,67,31.3,65,71.59,"1","04"
"113","Tibás",77.2,45.95,74.3,60.9,63,64.2,70.55,"1","13"
