"OBJECTID","COD_PROV","COD_CANT","NOM_PROV","NOM_CANT","IDPHC","IDHC","IDRGC","IGFM","EXTENSION_KM2","ELECTORES","POBLACION_CENSADA_2011","POBLACION_ESTIMADA_2015","PRESUPUESTO_2015","INGRESO_2014","GASTADO_2014","INGRESO_2013","GASTADO_2013","INGRESO_2012","GASTADO_2012"
"1","5","7","Guanacaste","Abangares","22.716","0.792","0.735","55.83","675.76","13049","18512","19266","2548.367141","2854.07","1980.03","2722.43","1635.9","2210.53","1271.32"
"2","1","12","San José","Acosta","13.715","0.777","0.74","44.1","342.24","15941","20286","21169","949","1186.43","879.36","1309.88","1066.87","1501.22","1006.87"
"3","6","6","Puntarenas","Aguirre","17.799","0.762","0.713","60.58","543.77","18516","28491","30623","3261.63185377","3618.1","3029.91","2774.83","2401.2","2896.47","2740.97"
"4","2","1","Alajuela","Alajuela","13.866","0.749","0.698","66.66","388.43","191325","276794","293601","20872.35","28332.76","12503.84","29111.83","22018.13","24921.92","17742.59"
"5","1","10","San José","Alajuelita","13.265","0.596","0.571","50.69","21.17","48673","82322","87734","2187.016347","1664.76","1874.01","2081.51","1367.86","1650.15","1250.28"
"6","3","6","Cartago","Alvarado","13.836","0.776","0.717","42.13","81.06","9840","14302","14853","874.7936","893.68","899.24","1389.97","568.98","674.29","649.91"
"7","1","6","San José","Aserrí","13.939","0.731","0.687","51.75","167.1","41445","58085","60740","2338.43728685","2169.23","1989.71","1967.88","2147.29","1498.16","1462.89"
"8","2","5","Alajuela","Atenas","14.244","0.807","0.742","58.24","127.19","19433","26420","27798","1245.08019396","914.37","423.47","1071.07","984.89","1269.5","1032.46"
"9","5","4","Guanacaste","Bagaces","22.283","0.755","0.708","52.92","1273.49","12869","20824","22301","1560.596985","2006.47","1432.76","1929.25","1495.24","1833.07","1277.13"
"10","4","2","Heredia","Barva","13.316","0.829","0.77","60.14","53.8","31052","41086","43776","2118.15253974","3340.96","1791.34","3045.99","1880","2458.96","1431.56"
"11","4","7","Heredia","Belén","13.148","0.939","0.853","79.32","12.15","17865","24192","25296","7289.37031846","7765.95","6103.38","6509.5","4820.43","5290.41","5155.25"
"12","6","3","Puntarenas","Buenos Aires","24.061","0.654","0.628","57.14","2384.22","30664","47324","50057","1891.94657293","3390.09","2114.17","3408.26","2114.13","3450.82","1952.33"
"13","5","6","Guanacaste","Cañas","21.435","0.779","0.727","52.77","682.2","18915","29234","30793","2450.26210133","3001.94","2239.75","2435.81","1768.88","2336.18","1928.68"
"14","5","5","Guanacaste","Carrillo","22.673","0.762","0.708","55.11","577.54","22917","38068","41390","6031.90307044","6008.19","4409.13","5227.01","3626.67","4812.62","4021.64"
"15","3","1","Cartago","Cartago","13.227","0.812","0.755","80.23","287.77","116377","151774","157794","20802.4187","19585.72","18532.21","18127.08","16255.11","15396.91","13545.95"
"16","6","10","Puntarenas","Corredores","23.992","0.779","0.723","44.53","620.6","32423","47094","49501","2499.77279007","3367.89","2078.78","2803.03","1874.64","2682.88","1708.96"
"17","6","8","Puntarenas","Coto Brus","25.625","0.737","0.698","50.79","933.91","28372","43361","43939","1839.280444","2348.58","1858.76","2846.44","2538.45","2359.11","1721.31"
"18","1","18","San José","Curridabat","12.72","0.844","0.771","67.2","15.95","47067","73288","76333","7708.11507754","11258.64","6129.24","6920.72","5400.39","5490.65","4765.95"
"19","1","3","San José","Desamparados","13.192","0.677","0.642","69.06","118.26","155457","222808","233360","8765.864124","10410.29","7245.57","8618.17","7004.7","7812","6153.17"
"20","1","17","San José","Dota","13.472","0.83","0.781","47.07","400.22","5301","7391","7667","667.95629392","1663.74","766.6","814.68","591.91","1361.31","739.44"
"21","3","8","Cartago","El Guarco","13.202","0.844","0.782","52.11","167.69","31420","42474","44336","2028.72030324","2359.31","2308.1","2495.31","1883.02","2406.14","1730.85"
"22","1","2","San José","Escazú","13.053","0.924","0.888","73.76","34.49","44487","63738","66652","16387.120225","19276.74","19103.24","14983.09","14191.07","13477.94","12897.41"
