"anio","region","cod_prov","provincia","cod_cant_d","canton","valor_agregado","impuestos","pib","exportaciones","importaciones","cod_cant"
2019,"Central","1","San José",101,"San José",6147938.22061753,551260.38832284,6699198.60894038,884942.527891868,3234484.47437603,"01"
2019,"Central","1","San José",102,"Escazú",1424373.29314871,93262.1240167114,1517635.41716542,11040.031837547,54072.9536527414,"02"
2019,"Central","1","San José",103,"Desamparados",923245.849427097,76502.9810676272,999748.830494725,37369.9008964099,229606.167682132,"03"
2019,"Central","1","San José",104,"Puriscal",111683.804202355,16729.7889953131,128413.593197668,1491.93775350261,3367.99843022754,"04"
2019,"Central","1","San José",105,"Tarrazú",66880.2224507726,2708.9225637963,69589.1450145689,24464.3684962078,2119.14507642073,"05"
2019,"Central","1","San José",106,"Aserrí",137425.461686572,9139.09881457431,146564.560501146,31430.098640137,5729.9305158135,"06"
2019,"Central","1","San José",107,"Mora",135380.483315171,8698.77250615637,144079.255821328,7320.15616091075,7664.67709090018,"07"
2019,"Central","1","San José",108,"Goicoechea",897636.94287085,182361.61927888,1079998.56214973,2141.83190477416,84374.2719807664,"08"
2019,"Central","1","San José",109,"Santa Ana",1588254.17459789,77674.880140621,1665929.05473851,2151.48267624985,31275.4667467694,"09"
2019,"Central","1","San José",110,"Alajuelita",170187.418273052,10454.3390866912,180641.757359743,1035.85679284981,20130.597786298,"10"
2019,"Central","1","San José",111,"Vázquez de Coronado",279667.276994065,16868.2705605523,296535.547554617,1174.93223765342,21019.3361436885,"11"
2019,"Central","1","San José",112,"Acosta",50354.217911066,3085.40087003561,53439.6187811016,11753.5852829382,7822.66306248163,"12"
2019,"Central","1","San José",113,"Tibás",452765.664129777,37786.2278926098,490551.892022387,16385.9652990384,33874.9267779066,"13"
2019,"Central","1","San José",114,"Moravia",342932.697325761,30611.9157019038,373544.613027665,17960.0383308781,38901.3859918489,"14"
2019,"Central","1","San José",115,"Montes de Oca",1030598.98170279,41430.8650834506,1072029.84678624,4561.2247162621,26154.4747610555,"15"
2019,"Central","1","San José",116,"Turrubares",14512.9833287254,387.628160431837,14900.6114891572,0,105.961366272971,"16"
2019,"Central","1","San José",117,"Dota",27146.7669055566,1107.52484637793,28254.2917519345,1241.7472931935,44.6550141913356,"17"
2019,"Central","1","San José",118,"Curridabat",779290.637875615,43635.5440896021,822926.181965217,11628.6656833178,56035.8771447573,"18"
2019,"Brunca","1","San José",119,"Pérez Zeledón",501514.393608769,29122.5616290849,530636.955237854,13021.3147353446,8462.86577642196,"19"
2019,"Central","1","San José",120,"León Cortés Castro",67969.9609868572,2521.00763466283,70490.9686215201,100.91599519727,1953.36956007717,"20"
2019,"Central","2","Alajuela",201,"Alajuela",3347695.59749716,315325.716446989,3663021.31394415,2377792.0114841,1997857.51087227,"01"
2019,"Central","2","Alajuela",202,"San Ramón",366858.951526905,21890.3690655314,388749.320592437,23149.5123867095,23662.5640480295,"02"
2019,"Central","2","Alajuela",203,"Grecia",342508.200783787,49885.2800722615,392393.480856049,110293.680619911,76174.3783614902,"03"
2019,"Pacífico Central","2","Alajuela",204,"San Mateo",28581.4711707161,818.940246660455,29400.4114173765,38.5413196006139,75.0127170487462,"04"
2019,"Central","2","Alajuela",205,"Atenas",111514.817866752,5737.94821887246,117252.766085625,1932.14190815336,4633.57700593992,"05"
2019,"Central","2","Alajuela",206,"Naranjo",159851.074447721,13780.7208932217,173631.795340943,3637.74415781375,16416.9118026901,"06"
2019,"Central","2","Alajuela",207,"Palmares",158197.784960238,14002.0504176029,172199.83537784,14587.4335667427,32071.8394760721,"07"
2019,"Central","2","Alajuela",208,"Poás",147187.277790532,8309.13422495812,155496.41201549,5430.65277222509,4312.14717381386,"08"
2019,"Pacífico Central","2","Alajuela",209,"Orotina",80312.2188019101,5253.04140023539,85565.2602021455,716.933842185742,575.069823416967,"09"
2019,"Huetar Norte","2","Alajuela",210,"San Carlos",991604.728454415,66895.2268412508,1058499.95529567,265331.970773854,59418.1779120227,"10"
2019,"Central","2","Alajuela",211,"Zarcero",82916.5041594225,3849.20975197214,86765.7139113946,1261.60172868605,1471.73457532491,"11"
2019,"Central","2","Alajuela",212,"Sarchí",76523.2944220575,4577.61234270356,81100.9067647611,11685.2868185061,2741.88485429305,"12"
2019,"Huetar Norte","2","Alajuela",213,"Upala",157713.821622492,5233.63677533523,162947.458397827,23845.5821261189,389.150984431387,"13"
2019,"Huetar Norte","2","Alajuela",214,"Los Chiles",115628.612009744,3764.40741892493,119393.019428669,10650.781557365,212.739640591675,"14"
2019,"Huetar Norte","2","Alajuela",215,"Guatuso",51087.4870549807,2169.6832108612,53257.1702658419,274.060993780214,1649.46300860848,"15"
2019,"Huetar Norte","2","Alajuela",216,"Río Cuarto",49350.242258403,772.218849233478,50122.4611076364,7785.11365817965,19388.3367854192,"16"
2019,"Central","3","Cartago",301,"Cartago",1196634.92925248,204602.143272853,1401237.07252533,561071.69431616,502169.296744798,"01"
2019,"Central","3","Cartago",302,"Paraíso",245026.261530098,17950.2938108388,262976.555340937,31144.7142609368,15186.768263024,"02"
2019,"Central","3","Cartago",303,"La Unión",571056.734879622,63828.9361731068,634885.671052729,40920.8860466261,58209.924864588,"03"
2019,"Central","3","Cartago",304,"Jiménez",85122.1292227047,4201.30265324628,89323.431875951,1130.07353595234,874.672368227392,"04"
2019,"Central","3","Cartago",305,"Turrialba",297864.750504482,25920.8954784534,323785.645982935,22539.900445988,11297.5743603589,"05"
2019,"Central","3","Cartago",306,"Alvarado",65974.2533651185,2649.48917877395,68623.7425438924,16.3561024140191,920.029327511656,"06"
2019,"Central","3","Cartago",307,"Oreamuno",137188.922788194,7392.03194126142,144580.954729456,8136.07893457582,7575.38988767876,"07"
2019,"Central","3","Cartago",308,"El Guarco",206784.811991847,15699.1351626926,222483.947154539,12916.0763842553,21972.0191754117,"08"
2019,"Central","4","Heredia",401,"Heredia",1962524.18631992,117441.308971273,2079965.4952912,734512.456513263,565426.338936327,"01"
2019,"Central","4","Heredia",402,"Barva",186328.514365796,10697.9853777697,197026.499743566,8386.46775840976,15774.4031666042,"02"
2019,"Central","4","Heredia",403,"Santo Domingo",411464.698726293,36215.5407879649,447680.239514258,14402.914736756,48372.6851025698,"03"
2019,"Central","4","Heredia",404,"Santa Bárbara",102679.206765697,5484.0406997938,108163.247465491,4016.269160385,9989.80858880052,"04"
2019,"Central","4","Heredia",405,"San Rafael",212920.86615244,7094.13286679965,220014.999019239,303.540903478035,8889.42108838629,"05"
2019,"Central","4","Heredia",406,"San Isidro",117256.75954367,4115.33919178869,121372.098735459,584.057872082984,2856.71194483747,"06"
2019,"Central","4","Heredia",407,"Belén",1076496.82496547,65497.6773662718,1141994.50233174,4373.0052973596,25066.7880365924,"07"
2019,"Central","4","Heredia",408,"Flores",270204.188715187,24712.9822070096,294917.170922197,2417.24356077985,6868.05988919517,"08"
2019,"Central","4","Heredia",409,"San Pablo",180864.275791023,10741.9579855363,191606.233776559,23.0240633697235,2831.05081956791,"09"
2019,"Huetar Norte","4","Heredia",410,"Sarapiquí",284193.684471423,13534.9307052033,297728.615176626,122805.310319884,11436.589230124,"10"
2019,"Chorotega","5","Guanacaste",501,"Liberia",686791.839103418,55018.0607884523,741809.89989187,6018.7766683615,24904.9797246807,"01"
2019,"Chorotega","5","Guanacaste",502,"Nicoya",217015.784345887,10231.6652881561,227247.449634043,13049.4090559937,2939.71870585592,"02"
2019,"Chorotega","5","Guanacaste",503,"Santa Cruz",314972.491395036,25117.4765866826,340089.967981719,405.874315954819,6898.83855608811,"03"
2019,"Chorotega","5","Guanacaste",504,"Bagaces",157730.229656165,8225.68591876989,165955.915574935,515.425559275268,580.511187272866,"04"
2019,"Chorotega","5","Guanacaste",505,"Carrillo",217606.25982809,18354.7349820778,235960.994810167,13344.2702770303,6446.61635147384,"05"
2019,"Chorotega","5","Guanacaste",506,"Cañas",142173.778641527,7213.92388970055,149387.702531228,34109.6089795848,21064.8627877399,"06"
2019,"Chorotega","5","Guanacaste",507,"Abangares",91318.1422044625,11353.5294788757,102671.671683338,9484.28490441863,8735.30540356744,"07"
2019,"Chorotega","5","Guanacaste",508,"Tilarán",210704.922988582,11034.659631228,221739.58261981,856.298879421151,3204.49755587218,"08"
2019,"Chorotega","5","Guanacaste",509,"Nandayure",36594.3077583852,1542.98069708104,38137.2884554662,3318.20869535945,145.623544173795,"09"
2019,"Chorotega","5","Guanacaste",510,"La Cruz",83833.0170788474,5948.28589298694,89781.3029718344,20750.1403960221,7126.7490741332,"10"
2019,"Chorotega","5","Guanacaste",511,"Hojancha",19749.2386863903,967.837000435322,20717.0756868256,75.6005643890684,111.03100712531,"11"
2019,"Pacífico Central","6","Puntarenas",601,"Puntarenas",614496.201822902,40820.5693836608,655316.771206563,127987.726857952,253651.609679717,"01"
